Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude,Continent,Renewable-electricity-generating-capacity-per-capita_normalized,Primary energy consumption per capita (kWh/person)_normalized
Poland,2020,100.0,100.0,,,,128.91,0.0,28.23,17.964872,29514.133,,,7.769742,-2.540658682,15720.99466,124,312685.0,51.919438,19.145136,Europe,,16.033792502342532
Portugal,2020,100.0,100.0,,,,21.43,0.0,30.11,58.420643,25782.078,,,31.723911,-8.442456428,22176.29671,111,92212.0,39.399872,-8.224454,Europe,,14.00632330725115
Puerto Rico,2020,100.0,,126.71,,,16.67,0.0,0.47,2.7421238,21459.73,,,,-3.903305193,32290.92114,368,9104.0,18.25,-66.5,,4.184923042354791,11.658172644823923
Qatar,2020,100.0,100.0,14.96,,,44.63,0.0,0.02,0.04479283,184074.56,,,0.07569663,-3.557603999,50124.38594,248,11586.0,25.354826,51.183884,Asia,0.4923438873358579,100.0
Romania,2020,100.0,87.7,,,,19.54,11.47,24.61,64.86876,18998.812,,,17.57964,-3.930454057,12896.08862,84,238391.0,45.943161,24.96676,Europe,,10.32125895072084
Rwanda,2020,46.6,2.4,10.92,,,0.32,0.0,0.59,64.83516,496.8982,,,,-3.355472122,797.8555207,525,26338.0,-1.940278,29.873888,Africa,0.3588493031186185,0.2699439835683975
Saint Kitts and Nevis,2020,100.0,100.0,77.83,,,0.2,0.0,0.01,4.7619047,19642.783,,,,,,205,261.0,17.357822,-62.782998,North America,2.5697707461818564,10.671101427595426
Saint Lucia,2020,100.0,94.3,20.89,,,0.33,0.0,0.0,0.0,12810.415,,,,,,301,616.0,13.909444,-60.978893,North America,0.6882901458527463,6.959362010698274
Saint Vincent and the Grenadines,2020,100.0,94.2,67.69,,,0.11,0.0,0.04,26.666666,7788.496,,,,,,284,389.0,12.984305,-61.287228,North America,2.2347125570821516,4.231163719744869
Samoa,2020,100.0,36.5,141.8,,,0.1,0.0,0.06,37.5,7222.1904,,,,-2.5926083,4067.843459,70,2831.0,-13.759029,-172.104629,Oceania,4.683545140334529,3.923513602314193
Sao Tome and Principe,2020,76.55909,3.3,12.11,,,0.09,0.0,0.01,10.0,3207.423,,,,3.089725555,2157.840446,242,836.0,0.3301924,6.733343,Africa,0.3981707276776568,1.7424585993849446
Saudi Arabia,2020,100.0,100.0,11.85,,,337.82,,0.21,0.062124662,80309.99,,,0.018463893,-4.106583413,20110.31619,16,2149690.0,23.885942,45.079162,Asia,0.38957949205971565,43.62905444402529
Senegal,2020,70.36894,24.2,14.69,,,4.23,0.0,1.0,19.120459,2532.4126,,,,1.499763427,1471.830962,87,196722.0,14.497401,-14.452362,Africa,0.4834222195787651,1.3757537163201696
Serbia,2020,100.0,79.8,,,,27.02,0.0,10.21,27.42412,26211.984,,,,-0.944596516,7720.510572,100,77474.0,44.016521,21.005859,Europe,,14.239873233976494
Seychelles,2020,100.0,100.0,99.53,,,0.53,0.0,0.07,11.666666,43703.28,,,,-10.77092148,10764.42042,214,455.0,-4.679574,55.491977,Africa,3.28680848814079,23.742161871798036
Sierra Leone,2020,26.200886,0.8,12.42,,,0.02,0.0,0.19,90.4762,480.5271,,,,-1.96894782,509.376594,111,71740.0,8.460555,-11.779889,Africa,0.4084141239913559,0.2610502505071858
Singapore,2020,100.0,100.0,93.64,,,50.04,0.0,0.83,1.63161,154256.3,,,0.30993885,-5.391021406,59797.75218,"8,358",716.0,1.352083,103.819836,Asia,3.092183958180508,83.80098803441388
Slovakia,2020,100.0,100.0,,,,6.22,15.44,6.85,78.18309,33193.33,,,10.48076,,,114,49035.0,48.669026,19.699024,Europe,,18.032546159556215
Slovenia,2020,100.0,100.0,,,,4.96,6.35,5.58,70.633514,36542.867,,,19.160215,-4.229261389,25517.33067,103,20273.0,46.151241,14.995463,Europe,,19.852209343865876
Solomon Islands,2020,73.34648,9.1,5.28,,,0.1,0.0,0.0,0.0,1877.3191,,,,-4.317260027,2250.601164,25,28896.0,-9.64571,160.156194,Oceania,0.17248557663712605,1.0198688509699547
Somalia,2020,49.73087,3.2,1.64,,,0.35,0.0,0.03,7.894737,212.09578,,,,2.440210973,438.2551656,25,637657.0,5.152149,46.199616,Africa,0.05220827798595002,0.11522275538781675
South Africa,2020,84.38554,86.8,162.5,,,197.5,11.62,12.83,11.015995,23568.951,,,3.150246,-6.431974826,5655.867654,49,1219090.0,-30.559482,22.937506,Africa,5.367539668378305,12.804024086761364
South Sudan,2020,7.2413383,0.0,0.06,,,0.53,0.0,0.01,1.8518518,703.1351,,,,,,18,644329.0,6.8769919,31.3069788,Africa,0.0,0.3819838548031841
Spain,2020,100.0,100.0,,,,87.64,58.3,113.79,66.25726,30391.29,,,22.102654,-10.82288649,27063.19392,94,505370.0,40.463667,-3.74922,Europe,,16.510315167940647
Sri Lanka,2020,100.0,32.2,109.83,,,9.64,0.0,5.94,38.1258,4853.1104,,,15.967422,-3.569076137,3680.673477,341,65610.0,7.873054,80.771797,Asia,3.62715359146692,2.63649164773231
Sudan,2020,55.3897,54.7,48.44,,,5.68,0.0,10.79,65.513054,2378.228,,,,-3.629805626,486.4188163,25,1861484.0,12.862807,30.217636,Africa,1.5986306892153554,1.2919916798931912
Suriname,2020,98.20477,94.5,325.78,,,0.94,0.0,0.98,51.041668,20356.205,,,,-15.90795119,4916.605666,4,163820.0,3.919305,-56.027783,South America,10.762835636445342,11.058673724386466
Sweden,2020,100.0,100.0,,,,2.44,49.2,112.15,98.5103,59395.523,,,51.05897,-2.948127879,52274.40879,25,450295.0,60.128161,18.643501,Europe,,32.26710035324816
